"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"NUEVO HORIZONTE","3920736","3920736","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SANTA MARIA ALTA I","3920743","3920743","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SANTA MARIA ALTA II","3920744","3920744","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ESTRELLITAS DEL VALLE","3923853","3923853","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"EL VALLE DE LOS NIÑOS","3923854","3923854","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ESTRELLITAS DE LA RICONADA","3923860","3923860","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"CRISTO REY","3923861","3923861","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MIS SONRISAS","3923864","3923864","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"ANGELITOS DE DIOS","3923865","3923865","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MIS PEQUEÑOS SUEÑOS","3923866","3923866","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"RAYITO DE AMOR","3923870","3923870","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SANTA ROSA DE VALLE GRANDE 1","3923872","3923872","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SANTA ROSA DE VALLE GRANDE 2","3923873","3923873","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SANTA ROSA DE VALLE GRANDE 3","3923874","3923874","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"DULCE DESPERTAR","3923875","3923875","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SUEÑOS FELICES","3923876","3923876","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"CURIOSITOS DEL SABER","3923878","3923878","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"DULZURAS DE JESUS","3923880","3923880","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"VIRGEN DE FATIMA I","3925642","3925642","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"VIRGEN DE FATIMA II","3926410","3926410","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MI MUNDO FELIZ A","3926411","3926411","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MI MUNDO FELIZ B","3926412","3926412","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SAN FRANCISCO","3937816","3937816","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
